ID,Suburb
774,AAN DE WIJNLANDEN ESTATE
591,ACACIA PARK
586,ADMIRALS PARK
500,ADRIAANSE
233,AIRPORT
225,AIRPORT CITY
553,AMANDA GLEN 
384,AMANDELRUG
346,AMANDELSIG
585,ANCHORAGE PARK
393,ANNANDALE
694,ANNANDALE FARM
584,ANTILLES/CAYMAN BEACH
140,ARAUNA
558,ASANDA
410,ASLA PARK
703,ATHLONE
570,ATLANTIS INDUSTRIAL
607,ATLAS GARDENS BUSINESS PARK
359,AUDAS ESTATE
621,AURORA
249,AUSTINVILLE
379,AVALON ESTATE
738,AVON
522,AVONDALE - PAROW
82,AVONDALE - WESFLEUR
722,AVONWOOD
160,BALVENIE
758,BANTRY BAY
256,BARNET MOLOKWANA CORNER
684,BARONETCY ESTATE
81,BEACON HILL
236,BEACON VALLEY
562,BEACONVALE
263,BEL'AIRE
351,BELGRAVIA
78,BELGRAVIA -BELLVILLE
204,BELHAR EXT 1
190,BELHAR EXT 10
191,BELHAR EXT 11
195,BELHAR EXT 12
189,BELHAR EXT 13
193,BELHAR EXT 14
20,BELHAR EXT 15
194,BELHAR EXT 16
186,BELHAR EXT 17
643,BELHAR EXT 18
188,BELHAR EXT 19
200,BELHAR EXT 2
187,BELHAR EXT 20
495,BELHAR EXT 21
518,BELHAR EXT 22
196,BELHAR EXT 23
201,BELHAR EXT 3
202,BELHAR EXT 4
203,BELHAR EXT 5
199,BELHAR EXT 6
198,BELHAR EXT 7
197,BELHAR EXT 8
192,BELHAR EXT 9
480,BELL GLEN
125,BELLAIR
646,BELLVILLE CBD
183,BELLVILLE LANDFILL
635,BELLVILLE SOUTH
173,BELLVILLE SOUTH INDUSTRIA
210,BELLVILLE TEACHERS COLLEGE
724,BELMONT PARK
343,BELRAIL
294,BELTHORN ESTATE
124,BELVEDERE TYGERBERG
288,BENE TOWNSHIP
15,BENNO PARK
312,BERBAGO
611,BERGVLIET
114,BETHANIE
677,BIG BAY
499,BISHOP LAVIS
573,BISHOPSCOURT
759,BIZWENI
705,BLAAUWBERGSTRAND
487,BLACKHEATH INDUSTRIA
84,BLOEKOMBOS
537,BLOEMHOF
547,BLOMMENDAL
540,BLOMTUIN
538,BLOMVLEI
706,BLOUBERG RISE
333,BLOUBERG SANDS
708,BLOUBERGRANT
507,BLUE DOWNS CBD
608,BO OAKDALE
40,BO-KAAP
615,BONGANI
107,BONNIE BRAE
451,BONNIE BROOK
465,BONTEHEUWEL
224,BOQUINAR INDUSTRIAL AREA
524,BOSBELL
429,BOSKLOOF
175,BOSONIA
686,BOSTON
416,BOTFONTEIN SMALLHOLDINGS
418,BOTHASIG
184,BOTTELARY SMALLHOLDINGS 1
630,BOTTELARY SMALLHOLDINGS 2
142,BRACKEN HEIGHTS
143,BRACKENFELL CENTRAL
25,BRACKENFELL COMMON
301,BRACKENFELL INDUSTRIA
629,BRACKENFELL SOUTH
261,BRAEVIEW
327,BRANDWACHT
385,BRANDWAG
421,BRANTWOOD
342,BRENTWOOD PARK - BLUE DOWNS
102,BRENTWOOD PARK - DURBANVILLE
284,BRIDGEBANK
396,BRIDGETOWN
287,BRIDGEWATER
319,BRIZA
733,BROADLANDS
334,BROADLANDS PARK
73,BROADLANDS VILLAGE
753,BROOKLYN
358,BUH-REIN ESTATE
631,BURGUNDY
369,BURGUNDY ESTATE
347,CAMELOT
745,CAMPS BAY / BAKOVEN
695,CAPE FARMS - DISTRICT B
623,CAPE FARMS - DISTRICT C
661,CAPE FARMS - DISTRICT H
552,CAPE GATE
438,CAPE TOWN AIRPORT
720,CAPE TOWN CITY CENTRE
361,CAREY PARK
285,CARWICK
11,CASTLE ROCK
590,CENTURY CITY
116,CHANTECLER
4,CHARLESVILLE
324,CHRIS HANI PARK
290,CHRIS NISSEN PARK
542,CHRISMAR
151,CHURCHILL ESTATE
148,CLAMHALL
768,CLARA ANNA FONTEIN
741,CLAREMONT
497,CLARKES ESTATE
493,CLIFTON
715,CLOVELLY
243,COLORADO PARK
159,CONNAUGHT
712,CONSTANTIA
177,CPUT
402,CRAVENBY
704,CRAWFORD
598,CROSSROADS
762,CROYDON
514,CROYDON OLIVE ESTATE
